,,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,,,,,,,,,,,รายงานระเบียนขบวนวิชา,,,,,,,,
,,ระบบตารางสอนตารางสอบ,,,,,,,,,,,มจพ. วิทยาเขตปราจีนบุรี ภาคการศึกษาที่ 2/2567,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
คณะศิลปศาสตร์ประยุกต์,,,,,,,,,,,,,ภาควิชาภาษา,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
  รหัสวิชา,,,ชื่อวิชา,หน่วยกิต,,,,ตอน,"จำนวน นศ.
",,วัน,เวลาเรียน,สถานที่,อาจารย์ผู้สอน,กลุ่มนักศึกษา,สอบกลางภาค,,สอบปลายภาค,,,
,,,,รวม,ท.,ป.,ศ.,,เปิด,ลง,,,,,,วัน,เวลา,วัน,เวลา,,
,,,,,,,,3,50,36,TU,09:00-12:00,1-B3-17,อ.ดร.ภูวดล คงทวี,"ITI-1R-DE-RA
AFET-1R-RA",,,,,,
,,,,,,,,4,45,37,TU,09:00-12:00,1-B2-02,อ.ธนภูมิ พุ่มพนม,"ITI-1R-DE-RB
FSN-1R-DE-RB
CDM-1R-DE-RA
CDM-1R-DE-RB",,,,,,
,,,,,,,,5,35,27,TU,13:00-16:00,55-415,อ.ดร.ภูวดล คงทวี,IBTT-1R-DE-RA,22/01/68,13:00-16:00,19/03/68,13:00-16:00,,
080103285,,,Chinese II,3,3,0,6,1,56,41,S,09:00-12:00,55-415,อ.จุฑาภรณ์ ดาหา,"THT-1R-DE-RA
TH-1R-DE-RA",,,,,,
080103293,,,French for Tourism,3,2,2,5,1,35,18,TH,08:00-12:00,55-415,อ.ดร.จารึก ราชสมบัติ,"TH-2R-DE-RA
TH-3R-RA",,,,,,
080103297,,,Chinese for Tourism,3,2,2,5,1,35,17,SU,08:00-12:00,55-415,อ.จุฑาภรณ์ ดาหา,"TH-2R-DE-RA
THT-2R-DE-RA",,,,,,
080103298,,,Chinese for Hospitality,3,2,2,5,1,30,14,S,13:00-16:00,55-415,อ.จุฑาภรณ์ ดาหา,"TH-3R-RA
THT-3R-RA",,,,,,
,,,,,,,,,,,,,,,,,,,,,
คณะศิลปศาสตร์ประยุกต์,,,,,,,,,,,,,ภาควิชาสังคมศาสตร์,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
  รหัสวิชา,,,ชื่อวิชา,หน่วยกิต,,,,ตอน,"จำนวน นศ.
",,วัน,เวลาเรียน,สถานที่,อาจารย์ผู้สอน,กลุ่มนักศึกษา,สอบกลางภาค,,สอบปลายภาค,,,
,,,,รวม,ท.,ป.,ศ.,,เปิด,ลง,,,,,,วัน,เวลา,วัน,เวลา,,
080203905,,,Economics for Everyday Life,3,3,0,6,11,45,45,TU,13:00-16:00,1-B2-21,อ.ดร.พิชลัณดาห์ สนธิวิฬุรห์,"CA-1R-DE-RA
IPD-1R-RA
FSN-1R-DE-RA
FSN-1R-DE-RB",21/01/68,13:00-15:00,20/03/68,13:00-16:00,,
080203907,,,Business for Everyday Life,3,3,0,6,10,160,138,F,13:00-16:00,1-POUNGKAM2,ผศ.ดร.วรวุธ ปลื้มจิตร,"IT-1R-DE-RB
IT-1R-DE-RA
IT-1R-DE-RC
IT-1R-DE-RD",21/01/68,13:00-15:00,18/03/68,13:00-16:00,,
,,,,,,,,11,95,82,F,13:00-16:00,55-410,อ.กิจติมา ลุมภักดี,"IBT-1R-DE-RA
IBT-1R-DE-RB",21/01/68,13:00-15:00,18/03/68,13:00-16:00,,
080203908,,,Development of Quality of Life in Work and Socialization,3,3,0,6,7,90,79,F,09:00-12:00,55-410,ผศ.ดร.วรวุธ ปลื้มจิตร,"IBT-1R-DE-RA
IBT-1R-DE-RB",23/01/68,13:00-15:00,17/03/68,13:00-16:00,,
080203914,,,Innovative Technopreneurs,3,3,0,6,7,50,45,F,09:00-12:00,55-310,อ.กิจติมา ลุมภักดี,TH-1R-DE-RA,22/01/68,13:00-15:00,19/03/68,13:00-16:00,,
,,,,,,,,,,,,,,,,,,,,,
คณะศิลปศาสตร์ประยุกต์,,,,,,,,,,,,,ภาควิชามนุษยศาสตร์,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
  รหัสวิชา,,,ชื่อวิชา,หน่วยกิต,,,,ตอน,"จำนวน นศ.
",,วัน,เวลาเรียน,สถานที่,อาจารย์ผู้สอน,กลุ่มนักศึกษา,สอบกลางภาค,,สอบปลายภาค,,,
,,,,รวม,ท.,ป.,ศ.,,เปิด,ลง,,,,,,วัน,เวลา,วัน,เวลา,,
080303103,,,Psychology for Happy Life,3,3,0,6,7,124,111,W,13:00-16:00,1-POUNGKAM2,อ.ต้องชนะ ชยากรโศภิต,"IEM-1R-DE-RA
IMT-2R-RA",21/01/68,13:00-16:00,19/03/68,09:00-12:00,,
080303201,,,Effective Speech,3,3,0,6,1,150,95,W,09:00-12:00,1-POUNGKAM1,อ.จุฑานุช ตุกวุ่น,"INE-4R-DE-RA
IBT-3R-DE-RA
IBT-3R-DE-RB",,,19/03/68,09:00-12:00,,
080303503,,,Badminton,1,0,2,1,12,30,15,F,13:00-15:00,SP-SPORT1,อ.อภิชดา เชื้อเจ็ดตน,InAE-2R-DE-RA,,,,,,
080303601,,,Human Relations,3,3,0,6,10,105,85,W,09:00-12:00,55-310,อ.ต้องชนะ ชยากรโศภิต,"TH-1R-DE-RA
IPD-1R-RA
MMT-1R-DE-RB",20/01/68,13:00-16:00,19/03/68,09:00-12:00,,
080303603,,,Personality Development,3,3,0,6,6,170,144,TH,09:00-12:00,1-POUNGKAM1,อ.ภาณุมาศ พุกพูลทรัพย์,"INE-1R-DE-RA
INET-1R-DE-RA
INET-1R-DE-RB
FSN-4R-RA
FSN-1R-DE-RB",,,,,,
080303607,,,Safety Life,3,3,0,6,1,81,67,F,09:00-12:00,ENG-วิศวฯ:303,อ.อภิชดา เชื้อเจ็ดตน,"InAE-2R-DE-RA
InSE-4R-RA
IEM-3R-DE-RA
AFE-2R-RA
AFE-2R-RB",,,,,,
080303608,,,Citizenship and Social Responsibility,3,3,0,6,1,50,43,TH,13:00-16:00,1-B2-02,อ.ภาณุมาศ พุกพูลทรัพย์,"AFE-3R-RB
CA-1R-DE-RA
MM-2R-RA
MM-3R-RA
INE-2R-DE-RA",,,19/03/68,09:00-12:00,,
080303609,,,Healthy Life,3,3,0,6,1,180,117,TH,13:00-16:00,1-POUNGKAM1,ผศ.ดร.เติมเพชร สุขคณาภิบาล,"MM-1R-DE-RA
MMT-1R-DE-RA",,,,,,
080303701,,,Design Thinking,3,3,0,6,3,120,41,TH,13:00-16:00,1-POUNGSAD,รศ.ดร.สกุลตลา วรรณปะเข,"IEM-2R-DE-RA
IMT-1R-RA
InAE-3R-DE-RA",,,,,,
,,,,,,,,4,144,135,TU,17:00-20:00,1-POUNGKAM1,รศ.ดร.สกุลตลา วรรณปะเข,"IT-1R-DE-RA
IT-1R-DE-RB
IT-1R-DE-RC
IT-1R-DE-RD",,,,,,
,,,,,,,,5,133,117,TH,17:00-20:00,1-POUNGKAM1,รศ.ดร.สกุลตลา วรรณปะเข,"ITI-1R-DE-RA
ITI-1R-DE-RB
ITI-1R-DE-RC
INE-2R-DE-RA
INET-2R-DE-RA
IPD-2R-RA
IPD-3R-RA",,,,,,
,,,,,,,,32,90,81,TU,13:00-16:00,1-POUNGKAM1,รศ.ดร.สกุลตลา วรรณปะเข,"IT-2R-RA
IT-2R-RB
IT-2R-RC
AFE-1R-RA
AFET-1R-RA",,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
ตารางสอน-สอบปัจจุบัน (REG-R40-01-22),,,,,,,,,,,,,18/12/2024 14:28,,,,,,,Page,1/1
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
