,,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,,,,,,,,,,,รายงานระเบียนขบวนวิชา,,,,,,,,
,,ระบบตารางสอนตารางสอบ,,,,,,,,,,,มจพ. วิทยาเขตปราจีนบุรี ภาคการศึกษาที่ 2/2567,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
คณะวิทยาศาสตร์ประยุกต์,,,,,,,,,,,,,ภาควิชาคณิตศาสตร์,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
  รหัสวิชา,,,ชื่อวิชา,หน่วยกิต,,,,ตอน,"จำนวน นศ.
",,วัน,เวลาเรียน,สถานที่,อาจารย์ผู้สอน,กลุ่มนักศึกษา,สอบกลางภาค,,สอบปลายภาค,,,
,,,,รวม,ท.,ป.,ศ.,,เปิด,ลง,,,,,,วัน,เวลา,วัน,เวลา,,
040203111,,,Engineering Mathematics I,3,3,0,6,4,120,100,F,13:00-16:00,1-B4-20-B,อ.ดร.เอกภัค เจริญเลิศมงคล,"AFE-R-DE-RA
AFET-1R-RA",20/01/68,09:00-12:00,21/03/68,09:00-12:00,,
040203112,,,Engineering Mathematics II,3,3,0,6,21,40,27,TH,09:00-12:00,ENG-วิศวฯ:303,อ.ดร.เอกภัค เจริญเลิศมงคล,InAE-1R-DE-RA,20/01/68,09:00-12:00,21/03/68,09:00-12:00,,
,,,,,,,,22,92,28,TH,09:00-12:00,1-POUNGKAM2,ผศ.ดร.จีราวรรณ สุขสำราญ,"IEM-1R-DE-RA
INE--
AFE-1R-RA
AFE-2R-RA
AFE-2R-RB
AFET-1R-RA
AFET-2R-RA
AFET-2R-RB",20/01/68,09:00-12:00,21/03/68,09:00-12:00,,
040203121,,,Mathematics for Technologist I,3,3,0,6,1,75,27,F,09:00-12:00,1-B4-21,ผศ.ดร.จีราวรรณ สุขสำราญ,"MMT-1R-DE-RA
MMT-1R-DE-RB
MM-2R-RA",20/01/68,09:00-12:00,21/03/68,09:00-12:00,,
040203123,,,Discrete Mathematics and Applications,3,3,0,6,1,105,101,TH,13:00-16:00,1-POUNGKAM2,อ.ดร.เอกภัค เจริญเลิศมงคล,"IT-1R-DE-RB
IT-1R-DE-RC
IT-1R-DE-RA",20/01/68,09:00-12:00,21/03/68,09:00-12:00,,
,,,,,,,,2,90,82,F,09:00-12:00,1-POUNGKAM2,อ.ดร.เอกภัค เจริญเลิศมงคล,"IT-1R-DE-RD
INE-1R-DE-RA",20/01/68,09:00-12:00,21/03/68,09:00-12:00,,
