040203124,,,Mathematics for Agro-Industry,3,3,0,6,1,60,47,TH,13:00-16:00,48-408,ผศ.ดร.จีราวรรณ สุขสำราญ,"IPD-1R-RA
IPD-3R-RA
FSM-1R-RA
FSM-4R-RA
FSN-1R-DE-RA",20/01/68,09:00-12:00,21/03/68,09:00-12:00,,
040203211,,,Engineering Mathematics III,3,3,0,6,4,60,25,F,13:00-16:00,ENG-วิศวฯ:303,ผศ.ดร.จีราวรรณ สุขสำราญ, ,20/01/68,09:00-12:00,21/03/68,09:00-12:00,,
,,,,,,,,,,,,,,,,,,,,,
คณะวิทยาศาสตร์ประยุกต์,,,,,,,,,,,,,ภาควิชาฟิสิกส์อุตสาหกรรมและอุปกรณ์การแพทย์,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
  รหัสวิชา,,,ชื่อวิชา,หน่วยกิต,,,,ตอน,"จำนวน นศ.
",,วัน,เวลาเรียน,สถานที่,อาจารย์ผู้สอน,กลุ่มนักศึกษา,สอบกลางภาค,,สอบปลายภาค,,,
,,,,รวม,ท.,ป.,ศ.,,เปิด,ลง,,,,,,วัน,เวลา,วัน,เวลา,,
040313007,,,Physics II,3,3,0,6,20,60,54,W,17:00-20:00,1-B4-20-B,ผศ.จิรภัทร ลดาวัลย์,"InAE-1R-DE-RA
IEM-1R-DE-RA",24/01/68,09:00-12:00,17/03/68,09:00-12:00,,
,,,,,,,,40,40,32,F,09:00-12:00,ENG-วิศวฯ:201,ผศ.ดร.อภิชาติ ศิริวิทย์ปรีชา ,InAE-1R-DE-RA,24/01/68,09:00-12:00,17/03/68,09:00-12:00,,
040313008,,,Physics Laboratory II,1,0,2,1,19,33,29,"M
 ","17:00-19:00
 ","1-B2-27
 ","ผศ.ดร.อนุสรา ศรีสรวล
ผศ.ดร.จักรพันธ์ เงาทอง",InAE-1R-DE-RA,,,17/03/68,13:00-15:00,,
,,,,,,,,20,55,52,"TU
 ","17:00-19:00
 ","1-B2-27
 ","ผศ.ดร.อนุสรา ศรีสรวล
ผศ.ดร.จักรพันธ์ เงาทอง",IEM-1R-DE-RA,,,17/03/68,13:00-15:00,,
040313011,,,Physics for Technologists,3,3,0,6,1,16,14,W,13:00-16:00,1-B2-21,ผศ.จิรภัทร ลดาวัลย์,CA-1R-DE-RA,24/01/68,09:00-12:00,17/03/68,09:00-12:00,,
040313019,,,Industrial Hygiene,3,3,0,6,1,30,14,W,09:00-12:00, ,ผศ.จิรภัทร ลดาวัลย์,FSN-3R-RA,24/01/68,13:00-16:00,24/03/68,13:00-16:00,,
,,,,,,,,,,,,,,,,,,,,,
คณะวิทยาศาสตร์ประยุกต์,,,,,,,,,,,,,ภาควิชาสถิติประยุกต์,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
  รหัสวิชา,,,ชื่อวิชา,หน่วยกิต,,,,ตอน,"จำนวน นศ.
",,วัน,เวลาเรียน,สถานที่,อาจารย์ผู้สอน,กลุ่มนักศึกษา,สอบกลางภาค,,สอบปลายภาค,,,
,,,,รวม,ท.,ป.,ศ.,,เปิด,ลง,,,,,,วัน,เวลา,วัน,เวลา,,
040503001,,,Statistics in Everyday Life,3,3,0,6,1,45,28,M,09:00-12:00,1-B2-03,ผศ.ดร.วิลาสินี ปีระจิตร,"AFE-3R-RB
AFET-1R-RA
CA-1R-DE-RA
CDM-1R-DE-RA
CDM-1R-DE-RB",22/01/68,09:00-12:00,27/03/68,09:00-12:00,,
040503011,,,Statistics for Engineers and Scientists,3,3,0,6,2,60,45,M,13:00-16:00,1-B2-03,ผศ.ดร.วิลาสินี ปีระจิตร,IEM-1R-DE-RA,22/01/68,09:00-12:00,27/03/68,09:00-12:00,,
,,,,,,,,3,40,12,W,13:00-16:00,ENG-วิศวฯ:303,อ.ดร.มนัสยา ละอองแก้ว,InAE-2R-DE-RA,22/01/68,09:00-12:00,27/03/68,09:00-12:00,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
ตารางสอน-สอบปัจจุบัน (REG-R40-01-22),,,,,,,,,,,,,18/12/2024 14:27,,,,,,,Page,1/1
,,,,,,,,,,,,,,,,,,,,,
