,,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,,,,,,,,,,,รายงานระเบียนขบวนวิชา,,,,,,,,
,,ระบบตารางสอนตารางสอบ,,,,,,,,,,,มจพ. วิทยาเขตปราจีนบุรี ภาคการศึกษาที่ 2/2567,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
คณะเทคโนโลยีและการจัดการอุตสาหกรรม,,,,,,,,,,,,,ภาควิชาการจัดการอุตสาหกรรม,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
  รหัสวิชา,,,ชื่อวิชา,หน่วยกิต,,,,ตอน,"จำนวน นศ.
",,วัน,เวลาเรียน,สถานที่,อาจารย์ผู้สอน,กลุ่มนักศึกษา,สอบกลางภาค,,สอบปลายภาค,,,
,,,,รวม,ท.,ป.,ศ.,,เปิด,ลง,,,,,,วัน,เวลา,วัน,เวลา,,
060113405,,,Production Planning and Cont,2,2,0,4,1,1,1,S,08:00-10:00,1-B3-03,ผศ.ดร.พิเชฐ พุ่มเกษร,IM-R-R,,,,,,
060113430,,,Production Planning and Cont,1,0,2,1,1,1,1,S,10:00-12:00,1-B3-03,ผศ.ดร.พิเชฐ พุ่มเกษร,IM-R-R,,,,,,
060113437,,,Special Project II,4,0,8,4,1,10,0,"W
TH","17:00-21:00
17:00-21:00","1-B3-08
1-B3-08","อ.ดร.มัณยาภรณ์ ภูริปัญญาคุณ
อ.ดร.มัณยาภรณ์ ภูริปัญญาคุณ",IM-นศ. ตกค้างR-RA,,,,,,
060123402,,,Manufacturing Processes,3,3,0,6,1,50,31,M,09:00-12:00,1-B3-07,ผศ.ดร.ณรงค์ฤทธิ์   สนใจธรรม,IMT-1R-RA,,,,,,
060123405,,,Production Planning and Control,3,3,0,6,1,50,33,TU,09:00-12:00,1-B2-22,ผศ.ดร.พิเชฐ พุ่มเกษร,IMT-1R-RA,,,,,,
060123407,,,Operations Research,3,3,0,6,1,50,32,F,09:00-12:00,1-B2-04,อ.ปรียานุช แย้มจินดา,IMT-1R-RA,,,,,,
060123419,,,Industrial Management Semina,1,0,3,3,1,25,21,TH,13:00-16:00,1-B2-21,อ.ปรียานุช แย้มจินดา,IMT-2R-RA,,,,,,
060123424,,,Quality Control,3,3,0,6,1,50,26,TH,09:00-12:00,1-B2-05,ผศ.ดร.ประเสริฐ ศรีบุญจันทร์,IMT-1R-RA,,,,,,
060123428,,,Computer-Aided Design and Manufacturing,3,0,6,3,1,35,0,"M
M","17:00-20:00
13:00-16:00","1-B2-06
1-B2-06",,IMT-1R-RA,,,,,,
