small medium large
95.73 243.89 1108.35
66.6 240.98 933.91
64.28 235.3 944.27
62.85 239.48 739.36
63.66 291.05 973.49
64.16 320.69 745.03
60.46 304.94 711.98
58.22 309.78 747.96
59.68 306.36 809.88
68.58 294.37 1289.99
89.43 230.5 811.45
129.64 246.02 904.41
89.53 216.8 739.66
91.61 268.29 900.56
93.82 374.37 861.01
95.32 354.09 858.64
96.53 325.19 742.95
83.18 302.95 938.3
98.54 292.24 837.73
86.67 304.05 639.76
