small medium large
303.45 782.78 2090.92
428.31 911.71 2166.51
617.21 877.13 2140.96
660.73 1100.14 2102.35
578.33 1107.07 1764.1
632.13 1054.56 1666.86
645.42 892.34 2275.68
537.08 952.42 2182.24
491.14 926.73 2368.33
521.58 927.74 2168.51
679.45 921.23 2005.3
636.77 986.06 2233.58
474.35 1184.04 2048.91
597.1 1116.94 2503.62
649.8 1028.07 1941.14
660.12 1101.83 2272.63
470.34 1072.08 2227.44
384.82 986.75 1939.37
421.02 1064.07 1910.52
429.58 872.43 2064.95
